url,size_human,content_length,content_type,status_code,source_file,alt,error
https://img-blog.csdnimg.cn/direct/9b7bdbc3a04a4c1bab67ac53ca60775d.png,783.26 KB,802057,image/png,200,legacy/Energy_conservation_and_emission_reduction_competition/半导体物理/DP读书：《半导体物理学（第八版）》第八章 表面态与接触势垒的关系.md,平衡结晶过程分析,
https://github.com/Darrenpig/new_energy_coder_club/assets/121377489/605cff17-8048-409c-bafc-a0d6350f4196,564.21 KB,577756,image/png,200,legacy/Internet_of_Things_Design_Competition/节能减排大赛（Nearlink小车计划）/README.md,屏幕截图 2024-04-28 213038,
https://img-blog.csdnimg.cn/direct/a7a82e779a1647f0b577c3c9238037b5.jpeg,398.09 KB,407643,image/jpeg,200,legacy/Energy_conservation_and_emission_reduction_competition/半导体物理/DP读书：《半导体物理学（第八版）》第七章 金属与半导体的接触.md,NXP-imx8的报错,
https://github.com/Darrenpig/new_energy_coder_club/assets/121377489/d83ede20-9fef-4100-9e7a-c19c13c8c2cf,267.12 KB,273527,image/png,200,legacy/Internet_of_Things_Design_Competition/README.md,image,
https://github.com/Darrenpig/new_energy_coder_club/assets/121377489/03f1c8c5-b9dd-444f-8f0d-c6ae05d54a8d,233.24 KB,238840,image/png,200,legacy/Internet_of_Things_Design_Competition/课程资料/新能源量化风投/readme.md,image,
https://img-blog.csdnimg.cn/direct/f63cffafaaeb40eaa653017f6feffb9b.png,197.79 KB,202539,image/png,200,legacy/Energy_conservation_and_emission_reduction_competition/材料科学基础/材料科学基础难点-第五章（相图）.text,材料科学基础,
https://github.com/Darrenpig/new_energy_coder_club/assets/121377489/2ceb57b3-3175-406e-8b28-1289d8235a7c,188.27 KB,192791,image/png,200,legacy/Internet_of_Things_Design_Competition/节能减排大赛（Nearlink小车计划）/README.md,屏幕截图 2024-04-28 213119,
https://img-blog.csdnimg.cn/direct/148c8888a74f422798f4f527bc019b92.png,98.61 KB,100973,image/png,200,legacy/Energy_conservation_and_emission_reduction_competition/半导体物理/DP读书：《半导体物理学（第八版）》第七章 金属与半导体的接触.md,n型半导体与金属紧密接触的能带示意图,
https://img-blog.csdnimg.cn/direct/cfda9258b7e248ea9181772c0df18863.png,92.18 KB,94397,image/png,200,legacy/Energy_conservation_and_emission_reduction_competition/半导体物理/DP读书：《半导体物理学（第八版）》第七章 金属与半导体的接触.md,n型半导体与金属的极限情况能带示意图,
https://github.com/Darrenpig/openEuler_Tutorial/assets/121377489/62ed178a-f259-4b1c-b8f7-0bbb3c05b174,74.78 KB,76577,image/png,200,legacy/Internet_of_Things_Design_Competition/节能减排大赛（Nearlink小车计划）/README.md,image,
https://github.com/Darrenpig/new_energy_coder_club/assets/121377489/8398bd56-00bb-4c17-85c5-3338129091de,67.94 KB,69569,image/png,200,legacy/Energy_conservation_and_emission_reduction_competition/README.md,image,
https://img-blog.csdnimg.cn/direct/f3f4cfa373cd4a6489d9de2628d48b0b.jpeg,59.85 KB,61290,image/jpeg,200,legacy/Energy_conservation_and_emission_reduction_competition/半导体物理/DP读书：《半导体物理学（第八版）》第六章 PN结.md,图2 平衡 pn 结的电势能,
https://img-blog.csdnimg.cn/direct/08062ebd706e467694ba77fd6b7e7abf.png,59.10 KB,60519,image/png,200,legacy/Energy_conservation_and_emission_reduction_competition/半导体物理/DP读书：《半导体物理学（第八版）》第七章 金属与半导体的接触.md,n型半导体与金属接触前的能带示意图,
https://img-blog.csdnimg.cn/direct/ae6ada686b644a95bec70bf8f6f068a0.jpeg,55.07 KB,56393,image/jpeg,200,legacy/Energy_conservation_and_emission_reduction_competition/半导体物理/DP读书：《半导体物理学（第八版）》第六章 PN结.md,n\p 半导体能带图,
https://licensebuttons.net/p/zero/1.0/88x31.png,980.00 B,980,image/png,200,legacy/industrial_design/2025全国机器人竞赛-ROBOCON/上位机组/Readme.md,CC0,
https://github.com/Darrenpig/new_energy_coder_club/assets/121377489/62f9c881-dd44-4818-a45c-eb3be9803b80,unknown,,,,legacy/Internet_of_Things_Design_Competition/README.md,image,"HTTPSConnectionPool(host='github.com', port=443): Max retries exceeded with url: /Darrenpig/new_energy_coder_club/assets/121377489/62f9c881-dd44-4818-a45c-eb3be9803b80 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"
https://github.com/Darrenpig/new_energy_coder_club/assets/121377489/0bc704bf-ab0b-47e8-a064-36c063fc72df,unknown,,,,legacy/Internet_of_Things_Design_Competition/README.md,image,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
https://github.com/Darrenpig/new_energy_coder_club/assets/121377489/edcd5d03-6302-4b3d-a101-c7996590ace7,unknown,,application/xml,403,legacy/Internet_of_Things_Design_Competition/2024物联网设计竞赛（华为杯）/Readme.md,image,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
https://github.com/Darrenpig/new_energy_coder_club/assets/121377489/a032d240-8cda-4da2-853e-0deaf01fc275,unknown,,,,legacy/Internet_of_Things_Design_Competition/节能减排大赛（Nearlink小车计划）/README.md,屏幕截图 2024-04-28 213105,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
https://github.com/Darrenpig/new_energy_coder_club/assets/121377489/ecd2a89c-face-451a-95ea-eb4952b8e508,unknown,,application/xml,403,legacy/Internet_of_Things_Design_Competition/节能减排大赛（Nearlink小车计划）/README.md,image,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
https://github.com/Darrenpig/new_energy_coder_club/assets/121377489/2cbceb48-069a-4b0c-bf33-f78f11b897b0,unknown,,,,legacy/Internet_of_Things_Design_Competition/节能减排大赛（Nearlink小车计划）/README.md,视觉光伏巡检小车设计图,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
https://github.com/Darrenpig/new_energy_coder_club/assets/121377489/689236a5-548f-496b-9968-e85ef23569a9,unknown,,,,legacy/Internet_of_Things_Design_Competition/课程资料/新能源量化风投/readme.md,image,"HTTPSConnectionPool(host='github-production-user-asset-6210df.s3.amazonaws.com', port=443): Read timed out. (read timeout=15)"
https://gitee.com/wu-luobin/fbb_ws63/raw/master/docs/pic/readme/image-20240809164437807.png,unknown,,,,legacy/industrial_design/科研「横向项目」/Readme.md,输入图片说明,"HTTPSConnectionPool(host='raw.giteeusercontent.com', port=443): Max retries exceeded with url: /wu-luobin/fbb_ws63/raw/master/docs/pic/readme/image-20240809164437807.png?metadata=eyJyIjoibWFzdGVyIiwiZnAiOiJkb2NzL3BpYy9yZWFkbWUvaW1hZ2UtMjAyNDA4MDkxNjQ0Mzc4MDcucG5nIiwicGlkIjo0MDA1MDg3OCwic3RvIjoiZ2l0LXNoYXJkaW5nLXN0by00MnQtMDIwIiwicnAiOiJyZXBvcy85ZC9kOC85ZGQ4ZWRlODdiZmJiZDEzYzNhODZlYmM5OGIxMmFiNzBjZmU1YjgxYzZlMWVmYWNkYTE0YzFmZTQ4MGIxNWIwLmdpdCIsImlzcCI6dHJ1ZSwiZXhwaXJlX2F0IjoxNzgyMjAyODAwfQ&signature=0Y-I1WlEDiSaGLOuLIrSum87QcKPBIgDdMCmuLCZcVo (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
https://gitee.com/wu-luobin/fbb_ws63/raw/master/docs/pic/BearPi-Pico_H3863/bearpi_pico_h3863.png,unknown,,,,legacy/industrial_design/科研「横向项目」/Readme.md,输入图片说明,"HTTPSConnectionPool(host='raw.giteeusercontent.com', port=443): Max retries exceeded with url: /wu-luobin/fbb_ws63/raw/master/docs/pic/BearPi-Pico_H3863/bearpi_pico_h3863.png?metadata=eyJyIjoibWFzdGVyIiwiZnAiOiJkb2NzL3BpYy9CZWFyUGktUGljb19IMzg2My9iZWFycGlfcGljb19oMzg2My5wbmciLCJwaWQiOjQwMDUwODc4LCJzdG8iOiJnaXQtc2hhcmRpbmctc3RvLTQydC0wMjAiLCJycCI6InJlcG9zLzlkL2Q4LzlkZDhlZGU4N2JmYmJkMTNjM2E4NmViYzk4YjEyYWI3MGNmZTViODFjNmUxZWZhY2RhMTRjMWZlNDgwYjE1YjAuZ2l0IiwiaXNwIjp0cnVlLCJleHBpcmVfYXQiOjE3ODIyMDI4MDB9&signature=mg09uRxEZY2VQthIcR_D2DlADrcV3sl7tHBoaWCQxEI (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
https://gitee.com/wu-luobin/fbb_ws63/raw/master/vendor/Hqyj_Ws63/doc/HQYJ_WS63.png,unknown,,,,legacy/industrial_design/科研「横向项目」/Readme.md,输入图片说明,"HTTPSConnectionPool(host='raw.giteeusercontent.com', port=443): Max retries exceeded with url: /wu-luobin/fbb_ws63/raw/master/vendor/Hqyj_Ws63/doc/HQYJ_WS63.png?metadata=eyJyIjoibWFzdGVyIiwiZnAiOiJ2ZW5kb3IvSHF5al9XczYzL2RvYy9IUVlKX1dTNjMucG5nIiwicGlkIjo0MDA1MDg3OCwic3RvIjoiZ2l0LXNoYXJkaW5nLXN0by00MnQtMDIwIiwicnAiOiJyZXBvcy85ZC9kOC85ZGQ4ZWRlODdiZmJiZDEzYzNhODZlYmM5OGIxMmFiNzBjZmU1YjgxYzZlMWVmYWNkYTE0YzFmZTQ4MGIxNWIwLmdpdCIsImlzcCI6dHJ1ZSwiZXhwaXJlX2F0IjoxNzgyMjAyODAwfQ&signature=uy336J0sLp-93x0LmOuofxJHDLau8CD7b5rPYClkZYk (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
